"seed","criterion","method","nrmse_test","nrmse_cal","coverage","n_test","n_in","width","max_log10_cond","pmm2_share","pmm3_share","best_layer","n_train","n_val"
75018,"MSE","PMM",6.19735666313501,3.51713063734402,0.421380090497738,5304,2235,2.95454485454253,3.39529768444374,1,0,1,9000,3000
75018,"MSE","LSE",8.19012686513505,4.5509586535825,0.421003016591252,5304,2233,3.56530877576181,3.09785391416669,0,0,1,9000,3000
75018,"MSE","ridge-LSE",8.19010635227405,4.550943254109,0.421003016591252,5304,2233,3.5653033247323,3.09785519031258,0,0,1,9000,3000
75018,"MSE","Huber",5.15095631844679,3.0082138540888,0.423265460030166,5304,2245,2.45449911105697,3.40535523445599,0,0,1,9000,3000
75018,"MSE","L1",1.36278006499156,1.43957654342843,0.805806938159879,5304,4274,1.18065146561952,3.49510318831696,0,0,1,9000,3000
75018,"ReserveTW4","PMM",6.19735666313501,3.51713063734402,0.421380090497738,5304,2235,2.95454485454253,3.39529768444374,1,0,1,9000,3000
75018,"ReserveTW4","LSE",8.19012686513505,4.5509586535825,0.421003016591252,5304,2233,3.56530877576181,3.09785391416669,0,0,1,9000,3000
75018,"ReserveTW4","ridge-LSE",8.19010635227405,4.550943254109,0.421003016591252,5304,2233,3.5653033247323,3.09785519031258,0,0,1,9000,3000
75018,"ReserveTW4","Huber",5.15095631844679,3.0082138540888,0.423265460030166,5304,2245,2.45449911105697,3.40535523445599,0,0,1,9000,3000
75018,"ReserveTW4","L1",1.36278006499156,1.43957654342843,0.805806938159879,5304,4274,1.18065146561952,3.49510318831696,0,0,1,9000,3000
75019,"MSE","PMM",6.20887693651607,3.48135665866826,0.425339366515837,5304,2256,2.99611312449782,3.40053201698776,1,0,1,9000,3000
75019,"MSE","LSE",8.17873576988144,4.4731973853529,0.423453996983409,5304,2246,3.57131900835145,3.10262526870826,0,0,1,9000,3000
75019,"MSE","ridge-LSE",8.17871586179738,4.47318253363294,0.423453996983409,5304,2246,3.57131195112539,3.10262625899555,0,0,1,9000,3000
75019,"MSE","Huber",5.33964608197496,3.09130054450543,0.425716440422323,5304,2258,2.5280302914312,3.38214858197195,0,0,1,9000,3000
75019,"MSE","L1",1.52770552246074,1.49145281592121,0.780920060331825,5304,4142,1.31365981435902,3.40906609666507,0,0,1,9000,3000
75019,"ReserveTW4","PMM",6.20887693651607,3.48135665866826,0.425339366515837,5304,2256,2.99611312449782,3.40053201698776,1,0,1,9000,3000
75019,"ReserveTW4","LSE",8.17873576988144,4.4731973853529,0.423453996983409,5304,2246,3.57131900835145,3.10262526870826,0,0,1,9000,3000
75019,"ReserveTW4","ridge-LSE",8.17871586179738,4.47318253363294,0.423453996983409,5304,2246,3.57131195112539,3.10262625899555,0,0,1,9000,3000
75019,"ReserveTW4","Huber",5.33964608197496,3.09130054450543,0.425716440422323,5304,2258,2.5280302914312,3.38214858197195,0,0,1,9000,3000
