"method","criterion_label","interval_type","emission_decile","n","observed_mean","predicted_mean","coverage","upper_miss_rate","mean_width"
"LSE","MSE","abs_residual_95",4,738,2.02039891598916,1.21856548245935,0.98509485094851,0.0149051490514905,3.3098390670344
"LSE","MSE","abs_residual_95",5,739,2.33196211096076,1.28752767667614,0.803788903924222,0.190798376184032,3.3098390670344
"LSE","MSE","abs_residual_95",6,738,2.74030460704607,1.54946351943168,0.582655826558266,0.410569105691057,3.3098390670344
"LSE","MSE","abs_residual_95",7,738,3.21216775067751,1.81434333410175,0.585365853658537,0.40650406504065,3.3098390670344
"LSE","MSE","abs_residual_95",8,738,3.71855785907859,2.45141463214293,0.457994579945799,0.524390243902439,3.3098390670344
"LSE","MSE","abs_residual_95",9,738,4.6273337398374,3.8691463695007,0.680216802168022,0.281842818428184,3.3098390670344
"LSE","MSE","abs_residual_95",10,739,8.1443201623816,6.36865725191151,0.54127198917456,0.431664411366712,3.3098390670344
"LSE","MSE","upper_95",1,738,1.11788945799458,0.886256450683512,0.997289972899729,0.002710027100271,NA
"LSE","MSE","upper_95",2,738,1.56605528455285,0.971785503927364,0.983739837398374,0.016260162601626,NA
"LSE","MSE","upper_95",3,738,1.80477628726287,1.07257646636163,0.964769647696477,0.035230352303523,NA
"LSE","MSE","upper_95",4,738,2.02039891598916,1.21856548245935,0.752032520325203,0.247967479674797,NA
"LSE","MSE","upper_95",5,739,2.33196211096076,1.28752767667614,0.571041948579161,0.428958051420839,NA
"LSE","MSE","upper_95",6,738,2.74030460704607,1.54946351943168,0.466124661246612,0.533875338753388,NA
"LSE","MSE","upper_95",7,738,3.21216775067751,1.81434333410175,0.294037940379404,0.705962059620596,NA
"LSE","MSE","upper_95",8,738,3.71855785907859,2.45141463214293,0.315718157181572,0.684281842818428,NA
"LSE","MSE","upper_95",9,738,4.6273337398374,3.8691463695007,0.640921409214092,0.359078590785908,NA
"LSE","MSE","upper_95",10,739,8.1443201623816,6.36865725191151,0.382949932341001,0.617050067658999,NA
"Huber","MSE","equal_tail_95",1,738,1.11788945799458,1.26450618717833,0.986449864498645,0,2.94519918226217
"Huber","MSE","equal_tail_95",2,738,1.56605528455285,1.40786173895471,0.994579945799458,0,2.94519918226217
"Huber","MSE","equal_tail_95",3,738,1.80477628726287,1.53120601899684,0.994579945799458,0.0040650406504065,2.94519918226217
