"rep","tail_weight","estimator","claim_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
1,2,"LSE",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,2,"LSE",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,2,"LSE",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,2,"LSE",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,2,"LSE",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,2,"LSE",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,2,"LSE",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,2,"LSE",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,2,"LSE",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,2,"LSE",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,2,"Huber",1,100,9250.61,115187.555911416,11.4518875956738,92.5061,1151.87555911416
1,2,"Huber",2,100,37846.04,114756.969079048,2.03220545872299,378.4604,1147.56969079049
