"rep","criterion","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
7,"MSE","PMM-relaxed",TRUE,1.61474128452013,5199.21091315516,425.18857460414,0.149254081317776,0.149254081317776,0.52,19277.9747258929,-13092.2437159687,-0.700720798561963,0.700720798561963,0.83,0,3,FALSE,TRUE,TRUE
7,"MSE","LSE",TRUE,1.93617662752136,5717.6450791457,744.727222433134,0.261421835053027,0.261421835053027,0.445,19047.6083272074,-14900.7826554542,-0.797517106162086,0.797517106162086,0.81,0,3,FALSE,FALSE,FALSE
7,"MSE","Huber",TRUE,1.00626162443444,2180.45562902838,-1692.56919982852,-0.59414310749616,0.59414310749616,0.551,17517.3455840525,-17517.3455840525,-0.937560333632615,0.937560333632615,1,0,3,TRUE,FALSE,FALSE
7,"MSE","L1",TRUE,1.00638463107403,2175.94808159919,-1684.50584685479,-0.591312626123146,0.591312626123146,0.522,17512.7550408141,-17512.7550408141,-0.937314639373204,0.937314639373204,1,0,3,FALSE,FALSE,FALSE
7,"Reserve","PMM-auto",TRUE,1.24896334527288,4767.00382899192,450.013509960813,0.157968386314994,0.157968386314994,0.434,20738.0943054723,-10719.3469441222,-0.573719028892388,0.573719028892388,0.85,0,3,FALSE,FALSE,TRUE
7,"Reserve","PMM-relaxed",TRUE,1.06048455144331,4233.22170844488,233.638043181335,0.0820140370149387,0.0820140370149387,0.33,17569.0657999834,-14231.7633689847,-0.761709971889411,0.761709971889411,0.84,0,3,FALSE,TRUE,FALSE
7,"Reserve","LSE",TRUE,1.24896334527288,4767.00382899192,450.013509960813,0.157968386314994,0.157968386314994,0.434,20738.0943054723,-10719.3469441222,-0.573719028892388,0.573719028892388,0.85,0,3,FALSE,FALSE,TRUE
7,"Reserve","Huber",TRUE,1.00676429765635,2198.50747659298,-1679.13196650437,-0.589426231185179,0.589426231185179,0.515,17474.8044868217,-17474.8044868217,-0.935283456401335,0.935283456401335,1,0,3,TRUE,FALSE,FALSE
7,"Reserve","L1",TRUE,1.0068181745709,2206.17371619187,-1630.90173038564,-0.572495955976486,0.572495955976486,0.515,17501.304496332,-17501.304496332,-0.936701785316439,0.936701785316439,1,0,3,FALSE,FALSE,FALSE
7,"TailReserve","PMM-auto",TRUE,1.13939946867774,4085.11399867566,420.772868458617,0.147704034577377,0.147704034577377,0.381,18406.0994335498,-12203.4795197882,-0.653152515325582,0.653152515325582,0.86,0,3,FALSE,FALSE,TRUE
7,"TailReserve","PMM-relaxed",TRUE,1.16831841438078,3933.75675314924,388.436223114519,0.136352891621043,0.136352891621043,0.373,17962.1970115172,-12767.6358117725,-0.683347190585934,0.683347190585934,0.86,0,3,FALSE,TRUE,FALSE
7,"TailReserve","LSE",TRUE,1.13939946867774,4085.11399867566,420.772868458617,0.147704034577377,0.147704034577377,0.381,18406.0994335498,-12203.4795197882,-0.653152515325582,0.653152515325582,0.86,0,3,FALSE,FALSE,TRUE
7,"TailReserve","Huber",TRUE,1.00676429765635,2198.50747659298,-1679.13196650438,-0.589426231185183,0.589426231185183,0.515,17474.8044868217,-17474.8044868217,-0.935283456401335,0.935283456401335,1,0,3,FALSE,FALSE,FALSE
7,"TailReserve","L1",TRUE,1.00635062193618,2177.29510224632,-1669.22503766933,-0.585948598788001,0.585948598788001,0.518,17510.3393483986,-17510.3393483986,-0.937185347102514,0.937185347102514,1,0,3,TRUE,FALSE,FALSE
8,"MSE","PMM-auto",TRUE,1.00550295355463,2944.6733088873,-565.152499714198,-0.19421225694239,0.19421225694239,0.18,17155.3701966858,-16814.9466485714,-0.879358513829267,0.879358513829267,0.95,0,3,TRUE,TRUE,TRUE
8,"MSE","PMM-relaxed",TRUE,1.00550295355463,2944.6733088873,-565.152499714198,-0.19421225694239,0.19421225694239,0.18,17155.3701966858,-16814.9466485714,-0.879358513829267,0.879358513829267,0.95,0,3,TRUE,TRUE,TRUE
8,"MSE","LSE",TRUE,1.00550295355463,2944.6733088873,-565.152499714198,-0.19421225694239,0.19421225694239,0.18,17155.3701966858,-16814.9466485714,-0.879358513829267,0.879358513829267,0.95,0,3,TRUE,TRUE,TRUE
8,"MSE","Huber",TRUE,1.00574524062193,2259.49677780175,-1765.41326294893,-0.606676772033619,0.606676772033619,0.545,17943.4935788318,-17943.4935788318,-0.938377276845361,0.938377276845361,1,0,3,FALSE,FALSE,FALSE
8,"MSE","L1",TRUE,1.00594744862472,2243.06943627331,-1743.84261138717,-0.599264109211382,0.599264109211382,0.513,17951.1600357361,-17951.1600357361,-0.938778203728486,0.938778203728486,1,0,3,FALSE,FALSE,FALSE
8,"Reserve","PMM-auto",TRUE,1.00584908084481,2997.85792619566,-534.164758388687,-0.183563451206916,0.183563451206916,0.213,16977.9338001294,-16754.1824742243,-0.876180775881908,0.876180775881908,0.92,0,3,FALSE,FALSE,TRUE
8,"Reserve","PMM-relaxed",TRUE,1.00584908084481,2997.85792619566,-534.164758388687,-0.183563451206916,0.183563451206916,0.213,16977.9338001294,-16754.1824742243,-0.876180775881908,0.876180775881908,0.92,0,3,FALSE,FALSE,TRUE
