"rep","tail_weight","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
4,1,"PMM-auto",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0,3,TRUE,FALSE,TRUE
4,1,"PMM-relaxed",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0,3,TRUE,FALSE,TRUE
4,1,"LSE",TRUE,0.999135740198037,3827.01458890863,-1360.27988781062,-0.361255444359948,0.361255444359948,0.19,25366.0485199861,-25272.2123717934,-0.911175718627057,0.911175718627057,0.96,0,3,FALSE,TRUE,FALSE
4,1,"Huber",TRUE,1.00103152249221,3127.39227420775,-2634.14331661802,-0.699560893960015,0.699560893960015,0.56,26563.2421374771,-26563.2421374771,-0.957723086827739,0.957723086827739,1,0,3,FALSE,FALSE,FALSE
4,1,"L1",TRUE,1.00110335557213,3115.64909545514,-2590.56412046397,-0.68798737735321,0.68798737735321,0.51,26560.1277143164,-26560.1277143164,-0.957610798013456,0.957610798013456,1,0,3,FALSE,FALSE,FALSE
4,2,"PMM-auto",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0,3,TRUE,FALSE,TRUE
4,2,"PMM-relaxed",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0,3,TRUE,FALSE,TRUE
4,2,"LSE",TRUE,0.999135740198037,3827.01458890863,-1360.27988781062,-0.361255444359948,0.361255444359948,0.19,25366.0485199861,-25272.2123717934,-0.911175718627057,0.911175718627057,0.96,0,3,FALSE,TRUE,FALSE
4,2,"Huber",TRUE,1.00103049298737,3126.01924513839,-2630.97718919358,-0.698720051733453,0.698720051733453,0.561,26552.0547188701,-26552.0547188701,-0.957319730602378,0.957319730602378,1,0,3,FALSE,FALSE,FALSE
4,2,"L1",TRUE,1.00110335557213,3115.64909545514,-2590.56412046397,-0.68798737735321,0.68798737735321,0.51,26560.1277143164,-26560.1277143164,-0.957610798013456,0.957610798013456,1,0,3,FALSE,FALSE,FALSE
4,4,"PMM-auto",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,4,"PMM-relaxed",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,4,"LSE",TRUE,0.998847728395817,3833.17039831582,-1359.92434533009,-0.361161021397479,0.361161021397479,0.199,25332.576182918,-25235.860536085,-0.90986507318226,0.90986507318226,0.96,0,3,FALSE,TRUE,TRUE
4,4,"Huber",TRUE,1.00103049298737,3126.01924513839,-2630.97718919358,-0.698720051733453,0.698720051733453,0.561,26552.0547188701,-26552.0547188701,-0.957319730602378,0.957319730602378,1,0,3,FALSE,FALSE,FALSE
4,4,"L1",TRUE,1.00110733402942,3115.83708188765,-2591.23915255653,-0.688166648561101,0.688166648561101,0.521,26555.2457938638,-26555.2457938638,-0.957434783056346,0.957434783056346,1,0,3,FALSE,FALSE,FALSE
