"seed","gamma3","break_mag","criterion","method","nrmse_test","nrmse_cal","coverage","width","pmm2_share","pmm3_share","frac_outside_hull","maha_ratio"
75025,1.5,0.3,"ReserveTW4","LSE",0.848100281082213,0.894594963427974,0.93,3.78433009962604,0,0,0.0036,0.974067865625911
75025,1.5,0.3,"ReserveTW4","PMM",0.845596883479287,0.895308830654463,0.9268,3.71737358515625,1,0,0.0036,0.974067865625911
75025,1.5,0.3,"ReserveTW4","Huber",0.87490456329055,0.901655996625924,0.9292,3.99558097460817,0,0,0.0036,0.974067865625911
75026,1.5,0.3,"ReserveTW4","LSE",0.815830349449111,0.853547981185519,0.9364,3.7835468774406,0,0,0.0052,0.946297175291564
75026,1.5,0.3,"ReserveTW4","PMM",0.813269174045778,0.844146246008428,0.9304,3.63049068687157,1,0,0.0052,0.946297175291564
75026,1.5,0.3,"ReserveTW4","Huber",0.841698492806751,0.849966436729794,0.9332,3.995401917336,0,0,0.0052,0.946297175291564
75027,1.5,0.3,"ReserveTW4","LSE",0.837110493448545,0.873772964106022,0.9212,3.5325639807439,0,0,0.0032,0.9902012668007
75027,1.5,0.3,"ReserveTW4","PMM",0.834720478123807,0.869687631895828,0.9288,3.66520656627057,1,0,0.0032,0.9902012668007
75027,1.5,0.3,"ReserveTW4","Huber",0.872072391261556,0.875875405759306,0.922,3.8159281750948,0,0,0.0032,0.9902012668007
75028,1.5,0.3,"ReserveTW4","LSE",0.834937502103206,0.860783676614817,0.9144,3.65573299225587,0,0,0.0016,1.04966031307534
75028,1.5,0.3,"ReserveTW4","PMM",0.834307283388054,0.858694255602213,0.9148,3.65168264954332,1,0,0.0016,1.04966031307534
75028,1.5,0.3,"ReserveTW4","Huber",0.866621536007341,0.872409973209765,0.916,3.91581049881483,0,0,0.0016,1.04966031307534
75029,1.5,0.3,"ReserveTW4","LSE",0.839858252376095,0.864679298722251,0.9344,3.9789183742147,0,0,0.0028,0.988522808277492
75029,1.5,0.3,"ReserveTW4","PMM",0.828891502024601,0.853374572724924,0.9396,4.02911505006463,1,0,0.0028,0.988522808277492
75029,1.5,0.3,"ReserveTW4","Huber",0.861691432170235,0.854753356620286,0.9396,4.30346740836461,0,0,0.0028,0.988522808277492
75030,1.5,0.3,"ReserveTW4","LSE",0.867053775962983,0.904122182795579,0.942,4.34421024876297,0,0,0.0048,0.922927834644934
75030,1.5,0.3,"ReserveTW4","PMM",0.863172128044135,0.903512526446264,0.9444,4.38753313153355,1,0,0.0048,0.922927834644934
75030,1.5,0.3,"ReserveTW4","Huber",0.902285072555882,0.918225047319668,0.9436,4.60820306566515,0,0,0.0048,0.922927834644934
